size, time
1, 1.637840986251831
2, 1.6111538410186768
3, 1.6283910274505615
4, 1.8037478923797607
5, 1.9309508800506592
6, 2.0154736042022705
7, 2.2116949558258057
8, 2.4551515579223633
9, 2.8551864624023438
10, 3.2293105125427246
11, 3.563488006591797
12, 4.483698606491089
13, 5.408996343612671
14, 7.0704193115234375
15, 7.175863265991211
16, 7.430833578109741
17, 8.276824712753296
18, 10.347654819488525
19, 11.52727198600769
20, 14.62126612663269
21, 39.59115648269653
22, 18.821127891540527
23, 20.55073881149292
24, 22.79001545906067
25, 25.471235990524292
26, 28.95939826965332
27, 33.06933069229126
28, 36.74258255958557
29, 42.14296340942383
30, 47.42641019821167
31, 223.787513256073
32, 55.21930694580078
33, 67.06880283355713
34, 68.67499995231628
35, 80.84259104728699
36, 78.00131320953369
37, 81.95947122573853
38, 78.29268431663513
39, 89.65253210067749
40, 97.61499834060669
